eye	startTime	endTime	duration	positionX	positionY	
-1	7486459904	7486563840	103989	1096.390014648438	291.5	
-1	7486633984	0	0	477.5400085449219	305.2000122070312	
1	7486633984	0	0	477.5400085449219	305.2000122070312	
1	7486633984	7486748160	114129	477.1300048828125	303.0400085449219	
-1	7486633984	7486748160	114129	477.1300048828125	303.0400085449219	
1	7486749696	0	0	464.7699890136719	289.2799987792969	
-1	7486749696	0	0	464.7699890136719	289.2799987792969	
-1	7486749696	7486945792	196043	470.2699890136719	296.2699890136719	
1	7486749696	7486945792	196043	470.2699890136719	296.2699890136719	
1	7486984192	0	0	279.9500122070312	753.1599731445312	
-1	7486984192	0	0	279.9500122070312	753.1599731445312	
1	7486984192	7487254016	270097	275.75	753.0999755859375	
-1	7486984192	7487254016	270097	275.75	753.0999755859375	
-1	7487256064	0	0	263.6799926757812	764.030029296875	
1	7487256064	0	0	263.6799926757812	764.030029296875	
-1	7487256064	7487472128	216131	261.6400146484375	761.1400146484375	
1	7487256064	7487472128	216131	261.6400146484375	761.1400146484375	
-1	7487524352	0	0	1103.890014648438	929.8099975585938	
1	7487524352	0	0	1103.890014648438	929.8099975585938	
1	7487524352	7487642624	118106	1104.7099609375	935.0499877929688	
-1	7487524352	7487642624	118106	1104.7099609375	935.0499877929688	
-1	7487644160	0	0	1095.420043945312	954.0499877929688	
1	7487644160	0	0	1095.420043945312	954.0499877929688	
1	7487644160	7488404480	760328	1087.0400390625	973.7899780273438	
-1	7487644160	7488404480	760328	1087.0400390625	973.7899780273438	
-1	7489064960	0	0	1348.72998046875	1054.56005859375	
1	7489064960	0	0	1348.72998046875	1054.56005859375	
1	7489064960	7489254912	190105	1339.030029296875	1051.47998046875	
-1	7489064960	7489254912	190105	1339.030029296875	1051.47998046875	
1	7489534976	0	0	1455.099975585938	770.760009765625	
-1	7489534976	0	0	1455.099975585938	770.760009765625	
1	7489534976	7489749504	214111	1453.369995117188	765.7000122070312	
1	7498645504	0	0	1068.109985351562	964.719970703125	
-1	7498645504	0	0	1068.109985351562	964.719970703125	
1	7498645504	7498927616	281991	1067.81005859375	965.0599975585938	
-1	7498645504	7498927616	281991	1067.81005859375	965.0599975585938	
1	7499007488	0	0	482.1400146484375	387.2799987792969	
-1	7499007488	0	0	482.1400146484375	387.2799987792969	
